Cruise,Station,mon/dd/yyyy,hh:mm,Longitude [degrees east],Latitude [degrees north],Bottom Depth [m],Pressure [db],Temperature [degrees C],Temperature 2 [degrees C],Salinity [psu],Salinity 2 [psu],Fluorescense [mg/m^3],Beam Transmission [%],PAR,Oxygen [umol/kg],Oxygen [% saturation]
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,91.595,17.268,17.2654,34.8262,34.8342,1.24E-01,98.27,1.36E+00,63.722,26.833
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,92.602,17.1228,17.1215,34.8275,34.8352,1.18E-01,98.2721,1.25E+00,62.257,26.145
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,93.608,16.9331,16.9324,34.8282,34.8363,1.26E-01,98.2731,1.16E+00,61.428,25.704
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,94.615,16.8436,16.8393,34.8234,34.8314,1.40E-01,98.2838,1.07E+00,60.222,25.155
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,95.622,16.7528,16.7522,34.8216,34.8296,1.08E-01,98.2664,1.00E+00,59.263,24.712
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,96.629,16.704,16.7029,34.8188,34.8275,1.14E-01,98.2996,9.29E-01,58.987,24.574
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,97.635,16.6971,16.6974,34.8312,34.8405,1.10E-01,98.3072,8.59E-01,58.922,24.545
SKQ201617S,sta001,12/24/2016,15:37,-109.34745,22.6666,2960,98.642,16.6589,16.6596,34.8566,34.8645,1.03E-01,98.2474,8.01E-01,58.616,24.404
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,99.649,16.6507,16.6512,34.8588,34.8681,1.02E-01,98.2572,7.48E-01,58.408,24.314
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,100.656,16.6437,16.6432,34.8617,34.8707,1.03E-01,98.2556,7.02E-01,57.721,24.026
SKQ201617S,sta001,12/24/2016,15:37,-109.34746,22.6666,2960,101.663,16.4996,16.497,34.8573,34.8647,9.87E-02,98.272,6.61E-01,56.166,23.313
SKQ201617S,sta001,12/24/2016,15:37,-109.34745,22.6666,2960,102.669,16.3948,16.3957,34.8521,34.8601,9.63E-02,98.2793,6.20E-01,55.28,22.898
SKQ201617S,sta001,12/24/2016,15:37,-109.34745,22.6666,2960,103.676,16.3336,16.3323,34.8524,34.8606,1.03E-01,98.2598,5.76E-01,54.961,22.74
SKQ201617S,sta001,12/24/2016,15:37,-109.34745,22.6666,2960,104.683,16.3038,16.3015,34.8501,34.8587,1.04E-01,98.27,5.37E-01,54.273,22.442
SKQ201617S,sta001,12/24/2016,15:37,-109.34744,22.6666,2960,105.69,16.1693,16.1641,34.8457,34.8526,9.44E-02,98.2748,5.10E-01,52.15,21.508
