long,lat,depth,press,SA,CT,sigma0
-109.34742,22.6666,162.0001097,163.087,34.96129288,13.52214613,26.13185772
-109.34742,22.6666,163.0000012,164.094,34.9576346,13.49201266,26.13524158
-109.34742,22.6666,163.9998877,165.101,34.95608645,13.4655275,26.13948394
-109.34742,22.6666,165.0007623,166.109,34.95579434,13.45759811,26.14088388
-109.34742,22.6666,166.0006391,167.116,34.95595439,13.45060769,26.14243707
-109.34742,22.6666,167.0005111,168.123,34.95596372,13.44122288,26.14436426
-109.34742,22.6666,168.0003781,169.13,34.95712861,13.43670726,26.14617926
-109.34742,22.6666,169.0002403,170.137,34.95367128,13.40906869,26.14918187
-109.34742,22.6666,170.0000977,171.144,34.9493096,13.37510676,26.1527741
-109.34742,22.6666,171.000943,172.152,34.94766097,13.35831736,26.15493418
-109.34742,22.6666,171.9997977,173.158,34.94947899,13.34169829,26.15971046
-109.34742,22.6666,173.0006333,174.166,34.95074436,13.33843009,26.16134441
-109.34742,22.6666,174.0004712,175.173,34.95422035,13.34210478,26.16325719
-109.34741,22.6666,175.0003042,176.18,34.94604006,13.28260567,26.16909109
-109.3474,22.6666,176.0001323,177.187,34.95579481,13.28423833,26.1762282
-109.3474,22.6666,176.9999555,178.194,34.96856406,13.31647239,26.1794537
-109.34741,22.6666,177.9997739,179.201,34.98178549,13.33690601,26.18541688
-109.34742,22.6666,179.0005803,180.209,34.98063785,13.29987669,26.19207145
-109.34742,22.6666,180.0003889,181.216,34.9815501,13.27808563,26.19719689
-109.34742,22.6666,181.0001927,182.223,34.9827638,13.26747685,26.20027982
-109.34742,22.6666,181.9999916,183.23,34.98116398,13.22901111,26.20685449
-109.34742,22.6666,183.0007785,184.238,34.9802173,13.19727398,26.21255411
-109.34742,22.6666,184.0005676,185.245,34.97404548,13.12310086,26.22280368
-109.3474,22.6666,185.0003519,186.252,34.9682756,13.06555197,26.22996636
-109.3474,22.6666,186.0001314,187.259,34.965269,13.04185522,26.23242274
-109.3474,22.6666,186.9999059,188.266,34.95397253,12.97743958,26.23667719
-109.3474,22.6666,188.0006685,189.274,34.95182004,12.94353476,26.24180653
-109.3474,22.6666,189.0004333,190.281,34.94906465,12.93686495,26.24102685
-109.3474,22.6666,190.0001933,191.288,34.94545514,12.90559092,26.24450092
-109.3474,22.6666,190.9999484,192.295,34.94330265,12.88577197,26.24680078
-109.3474,22.6666,192.0006914,193.303,34.94346127,12.88218338,26.24763718
-109.3474,22.6666,193.0004368,194.31,34.94201216,12.86779303,26.24939133
-109.3474,22.6666,194.0001773,195.317,34.94031184,12.84971259,26.25168461
-109.3474,22.6666,195.0009057,196.325,34.94443956,12.81382144,26.26198033
-109.3474,22.6666,196.0006364,197.332,34.94223682,12.75420021,26.2721094
-109.3474,22.6666,197.0003623,198.339,34.93169394,12.65081606,26.28443258
-109.3474,22.6666,198.0000834,199.346,34.9233617,12.58583888,26.29081304
-109.3474,22.66662,198.9997993,200.353,34.91819469,12.54046923,26.29574185
-109.3474,22.6666,199.9995109,201.36,34.91764992,12.53130558,26.29711765
-109.3474,22.6666,201.00021,202.368,34.91409082,12.50857437,26.29883232
-109.3474,22.6666,201.9999116,203.375,34.90776871,12.43206815,26.30890633
-109.3474,22.6666,202.9996083,204.382,34.90305433,12.38099701,26.31521882
