lat,long,depth,press,SA,CT,sigma0
18.00104,-109.99928,218.558,219.993,34.9014292,11.43045237,26.49416008
18.00104,-109.99928,219.6,221.042,34.90103479,11.42203877,26.49541145
18.00103,-109.99928,220.323,221.771,34.90023616,11.42875214,26.49355552
18.00102,-109.9993,221.524,222.981,34.89954146,11.41543155,26.49548199
18.00103,-109.9993,222.547,224.011,34.89894596,11.40193238,26.49751603
18.00104,-109.9993,223.495,224.966,34.89895282,11.39402216,26.49898115
18.00104,-109.9993,224.449,225.927,34.89825633,11.37504252,26.5019448
18.00104,-109.9993,225.534,227.019,34.89665644,11.350174,26.50529295
18.00104,-109.9993,226.6,228.093,34.8957598,11.33537827,26.50732451
18.00104,-109.9993,227.551,229.05,34.89466136,11.31830528,26.5096168
18.00104,-109.9993,228.5,230.006,34.89316097,11.2858647,26.51441631
18.00104,-109.99929,229.485,230.998,34.89206277,11.26539313,26.51732286
18.00104,-109.99928,230.492,232.012,34.8917686,11.25488701,26.51902049
18.00104,-109.99928,231.471,232.999,34.89157472,11.24358366,26.52094019
18.00104,-109.99928,232.444,233.978,34.89017498,11.22761349,26.5227826
18.00104,-109.9993,233.453,234.995,34.88947889,11.21901263,26.52381826
18.00104,-109.9993,234.452,236.001,34.88807935,11.19864644,26.52645928
18.00104,-109.9993,235.432,236.988,34.88597628,11.15613292,26.53258942
18.00104,-109.9993,236.451,238.014,34.88447639,11.11759646,26.53844349
18.00104,-109.9993,237.434,239.004,34.88398108,11.10889608,26.53964226
18.00103,-109.9993,238.379,239.956,34.88308356,11.10370299,26.53989334
18.00102,-109.9993,239.409,240.993,34.88248809,11.09779433,26.54050693
18.00102,-109.9993,240.402,241.994,34.88229431,11.09268082,26.54128558
18.00102,-109.9993,241.401,243,34.88169863,11.08398084,26.54240464
18.00102,-109.9993,242.4,244.006,34.88050004,11.06580897,26.54477471
18.00102,-109.9993,243.405,245.018,34.87920102,11.04224768,26.5480393
18.00102,-109.9993,244.404,246.024,34.8788063,11.02895192,26.55013994
18.00102,-109.9993,245.388,247.015,34.87790906,11.01307273,26.55231795
18.00102,-109.9993,246.403,248.038,34.87741398,11.0079633,26.55285904
18.00102,-109.9993,247.446,249.088,34.87681861,11.008443,26.55231321
18.00102,-109.9993,248.248,249.896,34.87642247,11.00585425,26.5524752
18.00102,-109.9993,249.278,250.934,34.87572653,10.99226173,26.55439207
18.00102,-109.9993,250.273,251.936,34.87533178,10.98276076,26.55580153
18.00102,-109.9993,251.326,252.996,34.87463863,10.97046354,26.55748389
18.00102,-109.9993,252.352,254.03,34.87454829,10.96175135,26.55898397
18.00102,-109.9993,253.29,254.975,34.87415562,10.95455382,26.55997734
18.00102,-109.9993,254.322,256.014,34.87366339,10.9467477,26.56100291
18.00102,-109.9993,255.358,257.058,34.87347267,10.93863556,26.5623155
18.00102,-109.99928,256.065,257.77,34.87297723,10.94414682,26.56094166
18.00102,-109.9993,257.287,259.001,34.87258737,10.93691386,26.56194226
18.00102,-109.9993,258.273,259.994,34.87219518,10.9278141,26.56327616
18.00102,-109.9993,259.252,260.981,34.87099905,10.91304156,26.56500819
18.00102,-109.9993,260.252,261.988,34.87090845,10.90044065,26.5672011
18.00102,-109.9993,261.241,262.984,34.8710187,10.89791892,26.56773882
18.00102,-109.9993,262.287,264.037,34.87012467,10.88443026,26.56946912
18.00102,-109.9993,263.263,265.021,34.8684261,10.84701046,26.57486254
18.00102,-109.9993,264.199,265.963,34.86632517,10.83096493,26.57611156
18.00102,-109.9993,265.195,266.967,34.86492824,10.8202879,26.57694198
18.00102,-109.9993,266.209,267.988,34.86333051,10.80402329,26.57861388
18.00102,-109.9993,267.226,269.013,34.86324008,10.7969113,26.57981348
18.00102,-109.9993,268.224,270.018,34.86264703,10.79071016,26.58046216
18.00102,-109.9993,269.221,271.022,34.86245591,10.78460106,26.58140425
18.00102,-109.9993,270.25,272.059,34.86176269,10.77211002,26.58309586
18.00102,-109.9993,271.225,273.041,34.86076747,10.74775453,26.58666474
18.00102,-109.9993,272.134,273.957,34.85977161,10.72759954,26.58948049
18.00102,-109.9993,273.161,274.992,34.85857595,10.70943026,26.59178523
18.00102,-109.9993,274.176,276.014,34.85878694,10.69502778,26.59450437
18.00102,-109.9993,275.171,277.016,34.85939967,10.68730709,26.59634691
18.00102,-109.9993,276.152,278.004,34.85920839,10.68519319,26.59657408
18.00102,-109.9993,277.142,279.002,34.85891672,10.68118377,26.59705973
18.00102,-109.9993,278.141,280.007,34.85912754,10.67796206,26.59779359
18.00102,-109.99929,279.156,281.03,34.85893661,10.67464629,26.5982338
18.00102,-109.99928,280.22,282.102,34.85814324,10.67063778,26.59833148
18.00102,-109.99928,280.842,282.729,34.8580489,10.67465442,26.59754694
18.00102,-109.99928,282.094,283.991,34.85695595,10.66364237,26.59865381
18.00102,-109.99928,283.096,284.999,34.85626244,10.65494926,26.5996574
18.00102,-109.99928,284.095,286.006,34.85587037,10.65163963,26.59994042
18.00102,-109.99928,285.086,287.005,34.8543729,10.63797366,26.60120155
18.00102,-109.99928,286.07,287.996,34.85267438,10.61722712,26.6035562
18.00102,-109.99928,287.072,289.005,34.85228233,10.60673212,26.60510642
18.00102,-109.99928,288.115,290.057,34.85138828,10.59554328,26.60639018
18.00102,-109.99928,288.966,290.914,34.85109523,10.60053361,26.60528348
18.00102,-109.99928,289.97,291.925,34.85110514,10.59452158,26.60635171
18.00102,-109.99928,290.982,292.945,34.85031126,10.57834525,26.60859039
18.00102,-109.99928,292.007,293.977,34.85042186,10.57382582,26.6094721
18.00102,-109.99928,293.013,294.99,34.85023082,10.56761819,26.61041794
18.00102,-109.99928,293.985,295.969,34.84973799,10.55742904,26.6118311
18.00102,-109.99928,294.972,296.964,34.84954678,10.54693279,26.61353019
18.00102,-109.99928,295.955,297.955,34.84925504,10.53454314,26.61548331
18.00102,-109.99928,296.959,298.966,34.84785816,10.51568649,26.61771677
18.00102,-109.99928,298.054,300.069,34.84616073,10.48205608,26.62230418
18.00102,-109.99928,298.858,300.88,34.84677158,10.49362052,26.62074903
18.00102,-109.99928,299.965,301.994,34.84517474,10.47635247,26.62254165
18.00102,-109.99928,300.981,303.018,34.84247174,10.42558907,26.62933192
18.00102,-109.99928,302.006,304.051,34.842284,10.41608747,26.6308458
18.00102,-109.99928,302.991,305.044,34.84159333,10.40909521,26.63153229
18.00102,-109.9993,304.112,306.173,34.84120586,10.42133883,26.62909588
18.00102,-109.9993,304.904,306.971,34.84101511,10.41326298,26.63035818
18.00102,-109.9993,305.929,308.003,34.84042542,10.40736175,26.63093215
18.00102,-109.9993,306.943,309.025,34.84033803,10.40444551,26.63137333
18.00102,-109.9993,307.942,310.032,34.83994899,10.40213565,26.63147554
18.00102,-109.9993,308.96,311.057,34.84006261,10.40011322,26.63191604
18.00103,-109.99929,310.015,312.121,34.84128207,10.39746597,26.63332007
18.00104,-109.99928,310.698,312.809,34.84088894,10.39878699,26.63278592
18.00104,-109.99929,311.863,313.983,34.84502389,10.39277726,26.63702933
18.00104,-109.9993,312.912,315.039,34.84533887,10.380171,26.63946949
18.00102,-109.9993,313.897,316.032,34.84384431,10.36880489,26.64029356
18.00102,-109.9993,314.817,316.959,34.84415765,10.35980654,26.6421017
18.00102,-109.9993,315.844,317.993,34.84407041,10.34112508,26.64528274
18.00102,-109.9993,316.853,319.01,34.84338005,10.33073874,26.6465536
18.00102,-109.9993,317.856,320.021,34.84289057,10.31895258,26.64822159
18.00102,-109.9993,318.868,321.04,34.84250169,10.31314994,26.64892792
18.00102,-109.9993,319.638,321.816,34.84180823,10.31466583,26.64812882
18.00103,-109.9993,320.789,322.976,34.84071775,10.29469248,26.65074946
18.00104,-109.9993,321.779,323.973,34.84002712,10.27373374,26.65384565
18.00104,-109.9993,322.772,324.974,34.84054238,10.27210656,26.65452567
18.00104,-109.9993,323.756,325.966,34.84125849,10.27257172,26.65499882
18.00104,-109.9993,324.794,327.012,34.83986509,10.25521279,26.65692452
18.00103,-109.9993,325.877,328.103,34.83837178,10.24762758,26.6570811
18.00102,-109.9993,326.726,328.958,34.83808127,10.23565815,26.65892436
18.00102,-109.9993,327.756,329.996,34.83548193,10.20385815,26.66240101
18.00102,-109.9993,328.769,331.017,34.83258092,10.16618038,26.66664463
18.00102,-109.9993,329.766,332.021,34.83138794,10.15321347,26.66795111
18.00102,-109.9993,330.789,333.052,34.83009483,10.13725257,26.66969237
18.00102,-109.9993,331.759,334.03,34.82930347,10.11640042,26.67265784
18.00102,-109.9993,332.686,334.964,34.82901397,10.10861275,26.67376889
18.00102,-109.9993,333.675,335.961,34.82942869,10.10609144,26.67452178
18.00102,-109.9993,334.675,336.968,34.83024547,10.07592854,26.68031771
18.00102,-109.9993,335.665,337.966,34.82955485,10.05277884,26.68374042
18.00102,-109.9993,336.773,339.082,34.82494678,10.01562411,26.68651404
18.00102,-109.9993,337.405,339.719,34.82435202,10.02304121,26.68478951
18.00102,-109.9993,338.645,340.969,34.82095149,9.980960282,26.68932333
18.00102,-109.9993,339.653,341.984,34.81794989,9.950272176,26.69221397
18.00102,-109.9993,340.674,343.013,34.81313971,9.90225987,26.69662777
18.00102,-109.9993,341.735,344.082,34.80893296,9.855628569,26.70125087
18.00102,-109.9993,342.472,344.825,34.80884199,9.875293348,26.69786027
18.00102,-109.9993,343.657,346.019,34.80503878,9.816670456,26.70480134
18.00102,-109.9993,344.627,346.996,34.80263961,9.786276684,26.7080547
18.00102,-109.99928,345.651,348.029,34.80064309,9.755171022,26.71172939
18.00102,-109.99928,346.646,349.032,34.79975155,9.732028565,26.71491664
18.00102,-109.99928,347.581,349.973,34.80106992,9.724014106,26.71727943
18.00102,-109.99928,348.575,350.975,34.8021881,9.728663933,26.71736722
18.00102,-109.99928,349.554,351.962,34.80280365,9.7307314,26.71749786
18.00102,-109.99928,350.558,352.974,34.80321855,9.729807316,26.71797395
18.00102,-109.99928,351.593,354.017,34.80303126,9.717819362,26.71983524
18.00102,-109.99928,352.584,355.015,34.80284338,9.703243586,26.72212717
18.00102,-109.99928,353.532,355.97,34.80245397,9.680597807,26.72560813
18.00102,-109.99928,354.614,357.061,34.80015709,9.636827007,26.73112469
18.00102,-109.99928,355.534,357.987,34.79916437,9.62955632,26.7315655
18.00102,-109.99928,356.523,358.985,34.79837357,9.625166013,26.73168313
18.00102,-109.99928,357.563,360.033,34.79788489,9.618570158,26.73240136
18.00102,-109.99928,358.575,361.052,34.79689339,9.60749888,26.73347319
18.00102,-109.99928,359.535,362.02,34.79700658,9.605389551,26.73391133
18.00102,-109.99928,360.514,363.006,34.79541173,9.587252257,26.73568679
18.00102,-109.99928,361.537,364.038,34.7952243,9.584143832,26.73605728
18.00102,-109.99928,362.56,365.069,34.79483588,9.580839779,26.73630437
18.00102,-109.99928,363.405,365.92,34.79394266,9.570484916,26.73732911
18.00102,-109.99928,364.473,366.997,34.79345435,9.562190893,26.7383251
18.00102,-109.99928,365.471,368.003,34.79346755,9.549906791,26.74036965
18.00102,-109.99928,366.445,368.984,34.79518871,9.546969084,26.74218989
18.00102,-109.99928,367.465,370.012,34.79801585,9.542410043,26.74513556
18.00102,-109.99928,368.459,371.013,34.79672265,9.517784682,26.74820495
18.00102,-109.99928,369.464,372.027,34.79583157,9.49783799,26.7508077
18.00102,-109.99928,370.444,373.014,34.79504062,9.486369579,26.75208627
18.00102,-109.99928,371.427,374.005,34.79435021,9.475297923,26.75337599
18.00102,-109.99928,372.411,374.996,34.79546858,9.471473303,26.7548731
18.00102,-109.99928,373.39,375.984,34.79618496,9.463368312,26.75676332
18.00102,-109.99926,374.371,376.973,34.79338428,9.438972905,26.75860555
18.00102,-109.99926,375.353,377.962,34.79219141,9.432099554,26.75881034
18.00102,-109.99926,376.367,378.984,34.79009457,9.419155923,26.75931049
18.00102,-109.99926,377.381,380.006,34.78819871,9.39813144,26.76128983
